istasyon_adi,lat,lon,brand,has_lpg,has_charge
HASAL ENERJİ ÜRETİMİ İZOLASYON ARITMA PETROL ÜRÜNLERİ İNŞAAT TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.432571,34.876269,Alpet,True,False
SEYHANTEPE PETROL VE TİCARET ANONİM ŞİRKETİ,36.989273,35.3269,Alpet,False,False
SO PETROL GIDA NAKLİYAT İHRACAT İTHALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.5033,34.8151,Alpet,True,False
AKSARAY TIR NAKLİYAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.35328,33.97205,Alpet,False,False
HÜSEYİN KAYA,37.8983,30.3752,Alpet,True,False
AVARLAR ZİRAİ ÜRÜN.İNŞ.TAŞ. TİCARET LİMİTED ŞİRKETİ,36.137577,36.232925,Alpet,True,False
SARAYÜSTÜ PETROL ÜRÜNLERİ TURİZM İNŞAAT TARIM VE HAYVANCILIK TİCARET VE SANAYİ LİMİTED ŞİRKETİ,41.685326,26.5649,Alpet,True,False
VEZİROĞLU PETROL LPG DAYANIKLI TÜKETİM MADDELERİ TURİZM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.436165,35.980331,Alpet,False,False
SONGÜL DEMİREL,40.96563,31.453606,Alpet,True,False
MEHMET ÖNEMLİ,38.409706,34.010994,Alpet,True,False
SADIK OTOMOTİV AKARYAKIT EV ALETLERİ TURİZM TEKSTİL GIDA MARKET LOKANTA İŞLETMECİLİĞİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.0607,30.1583,Alpet,True,False
GEÇİCİLER DENİZ ÜRÜN LERİ AKARYAKIT TURİZM SA NAYİ VE TİCARET ANONİM ŞİRKETİ,40.302784,27.837198,Alpet,True,False
GEÇİCİLER PETROL TANKER 10NN066,40.302784,27.837198,Alpet,False,False
VASFİ AKKIR - KÖY POMPASI,37.84185,34.668333,Alpet,False,False
DOĞAN BUYRUK TARIM MAKİNELERİ OTOMOTİV PETROL İNŞAAT MÜHENDİSLİK VE DANIŞMANLIK HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.7056,32.8147,Alpet,True,False
ALBAYRAK LOJİSTİK PETROL TURİZM İNŞAAT TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.75564,31.781227,Alpet,False,False
ALAPLI TEKYIL PETROL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.170976,31.37098,Alpet,True,False
ÖZERLER OTOMOTİV VE PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ,41.17374,31.382566,Alpet,True,False
MİS PETROL SANAYİ VE TİCARET ANONİM ŞİRKETİ,36.969404,35.591609,Alpet,True,False
HÜSEYİN TEMEL,38.9341,33.6423,Alpet,True,False
İBRAHİM TUNÇ,36.91354350121757,31.142197099784827,Alpet,True,False
ŞERİFE AKBAŞ,37.516026,30.530485,Alpet,False,False
İBRAHİM TUNÇ,36.9100133224516,31.12766385208487,Alpet,True,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,39.9455,32.7113,Alpet,False,False
ÖZ-CAN PETROL NAKLİYE TİCARET LİMİTED ŞİRKETİ,39.095047,33.563867,Alpet,True,False
ÖZ SÜMER TARIM HAUVANCILIK PETROL ÜRÜNLERİ İNŞAAT NAKLİYE SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.68,33.0,Alpet,True,False
TANKAR OTOMOTİV PETROL GIDA TEKSTİL HİZMET İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.1531,29.7837,Alpet,False,False
ATAHASAN TAŞIMACILIK GIDA CANLI HAYVAN VE TARIM ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,39.8948,32.8125,Alpet,True,False
TEKTAR PETROL SANAYİ TİCARET LİMİTED ŞİRKETİ,37.988152,34.724216,Alpet,False,False
AHMET KOCABIYIK PETROL ÜRÜNLERİ NAKLİYE VE TİCARET LİMİTED ŞİRKETİ,40.050632,27.849588,Alpet,False,False
ÖZ SEÇMENLER PETROL ÇIRÇIR ULUSLARARASI NAKLİYAT EĞİTİM HİZMETLERİ TURİZM OTELCİLİK TARIM ÜRÜNLERİ HAYVANCILIK İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,36.366352,36.447742,Alpet,True,False
UZEL TARIM VE PETROL ÜRÜNLERİ MOTORLU TAŞITLAR GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.035587,35.797195,Alpet,True,False
DOĞU KARDEŞLER PETROL ÜRÜNLERİ YAĞLAMA YIKAMA MARKET LOKANTACILIK KANTAR YEDEK PARÇA OTO TRAKTÖR ALIM SATIM KOMİSYONU LASTİK VE TOPRAK MAHSÜLLERİ KİMYA VE NAKLİYAT LİMİTED ŞİRKETİ,37.250758,35.655121,Alpet,True,False
ŞENOL EREN,36.95777,30.766831,Alpet,True,False
GEZERKAYA PETROL TARIM HAYVANCILIK İNŞAAT NAKLİYAT TİCARET SANAYİ LİMİTED ŞİRKETİ,38.2383,34.70039,Alpet,True,False
PATİR PETROL TİCARET VE SANAYİ LİMİTED ŞİRKETİ,40.101162,32.927841,Alpet,True,False
İYİGÜN PETROL ÜRÜNLERİ LİMİTED ŞİRKETİ,39.958171,33.078708,Alpet,True,False
LVN AKARYAKIT İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,39.9599,33.0893,Alpet,True,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,39.6726,27.8899,Alpet,True,False
TATOĞLU YAPI AKARYAKIT LPG ÜRÜNLERİ İNŞAAT TAAHHÜT NAKLİYE MAKİNA OTOMOTİV GIDA İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,41.3987,31.6843,Alpet,False,False
YAVUZ GIDA VE UN SANAYİ TİCARET ANONİM ŞİRKETİ,38.552,34.5369,Alpet,True,False
UZEL TARIM VE PETROL ÜRÜNLERİ MOTORLU TAŞITLAR GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.074855,36.068526,Alpet,True,False
"ERSOY SPOR TESİSLERİ, EĞLENCE YERLERİ İŞLETMECİLİĞİ VE PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ",38.07885,29.39747,Alpet,False,False
KARACA GRUP PETROL ÜRÜNLERİ TARIM VE HAYVANCILIK GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ,40.18832,33.023865,Alpet,True,False
AL-SEM OTOMOTİV PET.NAK.İNŞ.YAP.ELM.TUR.GID.TAR.HAY.İTH.İHR.TİC.LTD.ŞTİ.,38.487017,34.752651,Alpet,True,False
ATAHASAN TAŞIMACILIK GIDA CANLI HAYVAN VE TARIM ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,39.9389,33.3256,Alpet,True,False
SMA KARAKAYA PETROL,37.0822,36.2287,Alpet,True,False
DOSTLAR PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.8797196,26.4406355,Alpet,True,False
DOSTLAR PETROL Tanker - 22PA492,40.8797196,26.4406355,Alpet,False,False
ÇAT PETROLCÜLÜK TAŞIMACILIK NAKLİYE TURİZM TİCARET LİMİTED ŞİRKETİ,38.663333,34.668333,Alpet,False,False
CTT PETROL ANONİM ŞİRKETİ,39.8406,33.5095,Alpet,True,False
LVN AKARYAKIT İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,39.8403,33.5285,Alpet,True,False
TRANS SALDA TAŞIMACILIK PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.5095,29.7494,Alpet,True,False
ÖMEROĞLU PETROL TURİZM TİCARET VE SANAYİ LİMİTED ŞİRKETİ,41.29561,32.12908,Alpet,True,False
AKGÜNLER PETROL OTOMOTİV DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.9517,32.5359,Alpet,True,False
STANOS AKARYAKIT OTOMOTİV GIDA. İNŞAAT. TİCARET LİMİTED ŞİRKETİ,37.04071,30.085195,Alpet,True,False
BAYAR PETROL ÜRÜNLERİ NAKLİYAT TURİZM TİCARET VE PAZARLAMA LİMİTED ŞİRKETİ,39.848786,27.258526,Alpet,True,False
GÜNAL KONYA,38.040441,28.936562,Alpet,True,False
GÜNAL KONYA - KÖY İSTASYONU,38.045887,28.921793,Alpet,False,False
HAMZAOĞLU GIDA TEKSTİL PETROL VE TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.0427,36.6316,Alpet,True,False
KAYAOİL PETROL TİCARET ANONİM ŞİRKETİ,37.8127,29.1511,Alpet,False,False
GÜNAL KONYA,38.003319,28.934624,Alpet,True,False
HAVA HAMZAOĞLU,37.0191,36.7033,Alpet,True,False
ERTAŞ GÖYNÜK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.81874,34.930099,Alpet,True,False
HRN AKARYAKIT LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.580941,35.189155,Alpet,True,False
