istasyon_adi,lat,lon,brand
UZEL TARIM VE PETROL ÜRÜNLERİ MOTORLU TAŞITLAR GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.074855,36.068526,Alpet
"ERSOY SPOR TESİSLERİ, EĞLENCE YERLERİ İŞLETMECİLİĞİ VE PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ",38.07885,29.39747,Alpet
KARACA GRUP PETROL ÜRÜNLERİ TARIM VE HAYVANCILIK GIDA SANAYİ TİCARET LİMİTED ŞİRKETİ,40.18832,33.023865,Alpet
AL-SEM OTOMOTİV PET.NAK.İNŞ.YAP.ELM.TUR.GID.TAR.HAY.İTH.İHR.TİC.LTD.ŞTİ.,38.487017,34.752651,Alpet
ATAHASAN TAŞIMACILIK GIDA CANLI HAYVAN VE TARIM ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,39.9389,33.3256,Alpet
SMA KARAKAYA PETROL,37.0822,36.2287,Alpet
DOSTLAR PETROL ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.8797196,26.4406355,Alpet
DOSTLAR PETROL Tanker - 22PA492,40.8797196,26.4406355,Alpet
ÇAT PETROLCÜLÜK TAŞIMACILIK NAKLİYE TURİZM TİCARET LİMİTED ŞİRKETİ,38.663333,34.668333,Alpet
CTT PETROL ANONİM ŞİRKETİ,39.8406,33.5095,Alpet
LVN AKARYAKIT İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ,39.8403,33.5285,Alpet
TRANS SALDA TAŞIMACILIK PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.5095,29.7494,Alpet
ÖMEROĞLU PETROL TURİZM TİCARET VE SANAYİ LİMİTED ŞİRKETİ,41.29561,32.12908,Alpet
AKGÜNLER PETROL OTOMOTİV DEMİR ÇELİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.9517,32.5359,Alpet
STANOS AKARYAKIT OTOMOTİV GIDA. İNŞAAT. TİCARET LİMİTED ŞİRKETİ,37.04071,30.085195,Alpet
BAYAR PETROL ÜRÜNLERİ NAKLİYAT TURİZM TİCARET VE PAZARLAMA LİMİTED ŞİRKETİ,39.848786,27.258526,Alpet
GÜNAL KONYA,38.040441,28.936562,Alpet
GÜNAL KONYA - KÖY İSTASYONU,38.045887,28.921793,Alpet
HAMZAOĞLU GIDA TEKSTİL PETROL VE TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.0427,36.6316,Alpet
KAYAOİL PETROL TİCARET ANONİM ŞİRKETİ,37.8127,29.1511,Alpet
GÜNAL KONYA,38.003319,28.934624,Alpet
HAVA HAMZAOĞLU,37.0191,36.7033,Alpet
ERTAŞ GÖYNÜK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.81874,34.930099,Alpet
HRN AKARYAKIT LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.580941,35.189155,Alpet
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,39.0093,34.7682,Alpet
UFUK KIZILTEPE,38.188991,28.669281,Alpet
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.695141,35.120705,Alpet
MAHMUT DAĞAÇIKAN,36.7142,37.1252,Alpet
BAŞKURT AKARYAKIT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.085,29.6821,Alpet
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,38.9826,34.8905,Alpet
ALGÜL AKARYAKIT GIDA TEKSTİL KUYUMCULUK CAFETARYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.173649,36.73365,Alpet
TOKAT ÇİĞDEM GIDA PETROL İNŞAAT OTOMOTİV LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.0191,29.685278,Alpet
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,41.6154,32.3239,Alpet
KİBYRA AKARYAKIT TURİZM OTOMOTİV İNŞAAT TARIM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.1598,29.524,Alpet
BEYKONAK PETROL SANAYİ TİCARET LİMİTED ŞİRKETİ,36.34261,30.32552,Alpet
NADİR AKARYAKIT SANAYİ TİCARET LİMİTED ŞİRKETİ,37.1102,36.8785,Alpet
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.80947,35.222371,Alpet
ÜÇYILDIZ ENERJİ AKARYAKIT TURİZM TİCARET SANAYİ LİMİTED ŞİRKETİ,41.689068,32.363171,Alpet
KAANHAN PETROL NAKLİYE TURİZM HAYVANCILIK VE TARIM ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.218862,28.292166,Alpet
ASOİL GRUP PETROL ÜRÜNLERİ İNŞAAT İTHALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.518,26.9867,Alpet
PERENLER PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.786563,27.670618,Alpet
SAĞINÇ KÖY POMPASI,37.979469,28.441532,Alpet
İSMAİL ŞAHİN,37.789233,36.434084,Alpet
ZENGİNLER PETROL ÜRÜNLERİ TEKSTİL İNŞAAT NAKLİYAT GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,40.12451,34.1725,Alpet
NERTA END.TEM.ÜR.VEEK.OTO.MÜ.Kİ.AK.SAN.TİC.LTD.ŞTİ.,39.44379,26.896494,Alpet
SAĞINÇ PETROL ÜRÜNLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.91423,28.395765,Alpet
TAŞDEMİR SIVI YAKIT PETROL ÜRÜNLERİ İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.02005,37.352787,Alpet
SAĞINÇ PETROL ÜRÜNLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.546768,28.711876,Alpet
ÇAVUŞOĞLU LOJİSTİK PETROL AKARYAKIT SAN. TİC. LTD. ŞTİ.,37.6201,36.7746,Alpet
SAĞINÇ PETROL ÜRÜNLERİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,37.604877,28.588017,Alpet
